sample,mae_with_control,mae_without_control,better
377,0.6932728290557861,0.6932728290557861,no_control
378,0.6947648525238037,0.6947648525238037,no_control
379,0.695753812789917,0.695753812789917,no_control
380,0.6947429180145264,0.6947429180145264,no_control
381,0.697097659111023,0.697097659111023,no_control
382,0.6988157629966736,0.6988157629966736,no_control
383,0.697005033493042,0.697005033493042,no_control
384,0.6953538656234741,0.6953538656234741,no_control
385,0.6977535486221313,0.6977535486221313,no_control
386,0.6936274766921997,0.6936274766921997,no_control
387,0.6915997862815857,0.6915997862815857,no_control
388,0.6902996301651001,0.6902996301651001,no_control
389,0.6893262267112732,0.6893262267112732,no_control
390,0.6920436024665833,0.6920436024665833,no_control
391,0.6947963833808899,0.6947963833808899,no_control
392,0.6971297860145569,0.6971297860145569,no_control
393,0.6954993605613708,0.6954993605613708,no_control
394,0.6914101839065552,0.6914101839065552,no_control
395,0.690252423286438,0.690252423286438,no_control
396,0.686957061290741,0.686957061290741,no_control
397,0.6745279431343079,0.6745279431343079,no_control
398,0.66708904504776,0.66708904504776,no_control
399,0.6526746153831482,0.6526746153831482,no_control
400,0.6415163278579712,0.6415163278579712,no_control
401,0.6389081478118896,0.6389081478118896,no_control
402,0.6401129961013794,0.6401129961013794,no_control
403,0.6414002776145935,0.6414002776145935,no_control
404,0.642482340335846,0.642482340335846,no_control
405,0.6406362056732178,0.6406362056732178,no_control
